3614,3590,3669
3557,3551,3667
3554,3549,3645
3576,3579,3660
3622,3594,3673
3635,3609,3695
3635,3583,3684
3594,3559,3678
3604,3553,3686
3618,3605,3706
3650,3660,3727
3639,3638,3707
3634,3621,3701
3642,3622,3717
3608,3643,3726
3599,3638,3699
3575,3575,3680
3569,3572,3676
3569,3586,3698
3606,3615,3733
3582,3655,3736
3589,3642,3725
3612,3649,3718
3629,3670,3750
3587,3677,3754
3553,3446,3457
3277,3320,3388
3311,3343,3377
2317,1911,2084
1929,1556,1939
1772,1429,1878
1723,1399,1845
1655,1351,1792
1562,1263,1734
1453,1185,1640
1320,1095,1553
1192,1018,1454
1036,955,1392
927,896,1332
828,830,1326
775,784,1317
735,750,1333
713,721,1342
694,689,1352
664,664,1339
620,646,1312
575,632,1260
548,601,1242
531,587,1221
512,584,1193
494,572,1178
482,564,1165
476,549,1154
469,549,1151
473,551,1133
471,544,1138
463,537,1127
468,542,1129
467,539,1139
459,533,1126
465,541,1130
467,539,1132
458,534,1129
457,534,1135
464,539,1146
462,538,1136
465,538,1148
466,528,1157
452,529,1154
459,534,1153
457,534,1147
458,533,1146
463,540,1145
462,539,1144
462,533,1141
456,533,1143
458,533,1140
463,541,1127
463,539,1143
458,533,1136
456,534,1136
466,534,1142
463,541,1133
463,539,1147
457,533,1148
459,534,1145
462,534,1142
463,540,1136
464,540,1139
462,533,1140
457,532,1135
457,534,1143
465,539,1144
463,540,1145
463,539,1146
464,533,1146
457,534,1143
456,533,1143
462,539,1134
461,538,1132
456,531,1131
455,532,1131
462,537,1131
461,538,1134
455,531,1130
457,532,1131
461,539,1134
463,538,1143
455,530,1134
457,532,1137
462,539,1144
462,537,1139
462,532,1137
454,531,1138
458,531,1140
462,538,1127
464,538,1134
457,532,1138
454,531,1137
464,538,1141
462,539,1141
456,533,1146
456,532,1136
457,531,1134
463,539,1135
464,538,1134
454,533,1140
456,531,1130
462,537,1133
461,539,1131
455,532,1134
457,532,1135
461,538,1133
463,538,1130
461,534,1129
454,532,1132
462,532,1136
462,537,1125
462,538,1133
458,533,1134
456,532,1149
462,538,1137
463,537,1134
461,535,1141
455,532,1140
455,532,1139
461,538,1138
464,538,1141
462,533,1142
457,533,1144
457,532,1145
460,538,1128
464,539,1133
458,533,1133
458,532,1136
456,532,1137
463,538,1128
463,539,1133
458,532,1132
458,532,1138
462,531,1134
463,537,1132
461,532,1139
458,532,1144
456,532,1139
460,537,1129
463,538,1131
457,533,1131
455,531,1135
461,538,1128
463,538,1132
458,533,1132
455,533,1130
461,534,1134
461,538,1138
463,538,1144
458,533,1144
456,533,1142
460,540,1142
461,539,1128
463,538,1143
456,534,1143
457,532,1141
461,539,1147
461,540,1140
457,532,1132
455,533,1132
463,538,1133
462,537,1133
461,532,1131
456,532,1140
464,532,1132
463,537,1131
462,539,1143
458,532,1143
455,533,1137
464,538,1142
463,538,1138
460,538,1136
457,531,1135
458,533,1144
463,538,1146
464,538,1147
462,532,1142
458,533,1139
456,535,1132
462,538,1136
462,538,1140
461,538,1136
459,533,1142
456,533,1136
462,538,1136
461,538,1131
463,531,1141
457,533,1142
463,532,1142
461,539,1143
462,538,1143
457,531,1138
456,533,1146
462,532,1142
460,539,1133
461,539,1136
457,532,1133
455,533,1134
461,538,1132
461,539,1136
457,532,1135
457,533,1142
461,533,1131
463,538,1143
461,532,1134
456,533,1139
455,533,1132
463,538,1126
461,538,1137
454,531,1143
457,531,1131
462,539,1134
463,538,1133
456,532,1135
456,532,1134
463,539,1133
461,539,1134
460,533,1146
457,532,1135
456,532,1133
461,538,1126
462,538,1133
457,532,1135
456,531,1133
463,537,1134
461,539,1142
463,532,1144
456,532,1147
455,532,1144
463,538,1126
462,540,1131
456,532,1134
456,532,1137
462,534,1134
462,538,1127
461,538,1141
455,532,1147
455,532,1132
462,538,1126
460,538,1131
456,531,1134
455,532,1138
460,533,1134
462,537,1126
463,538,1142
456,532,1132
455,532,1135
459,537,1134
463,538,1141
456,532,1142
455,531,1137
463,531,1139
463,538,1136
462,539,1134
456,531,1141
456,532,1146
463,538,1127
464,536,1132
456,532,1128
453,535,1130
461,538,1137
455,533,1139
457,532,1142
464,533,1142
464,540,1126
468,540,1134
463,535,1134
463,534,1132
474,542,1142
477,548,1140
477,547,1156
488,556,1186
496,560,1203
519,578,1215
531,588,1229
543,593,1243
553,611,1253
572,622,1275
597,647,1285
631,669,1311
657,682,1325
678,700,1331
708,727,1359
735,735,1356
764,763,1384
784,770,1385
810,785,1378
821,800,1388
851,812,1404
874,827,1412
886,840,1420
899,860,1417
1675,2211,2950
3405,3551,3758
3690,3780,3891
3699,3792,3865
3694,3785,3898
3744,3815,3912
3747,3966,4033
3820,4048,4099
3873,4066,4137
3931,4149,4237
3990,4202,4331
4056,4266,4381
4075,4313,4419
4158,4405,4521
4177,4473,4555
4247,4536,4632
4321,4624,4741
4330,4664,4775
4377,4680,4771
4395,4696,4795
4353,4687,4746
4308,4636,4752
4302,4597,4698
4302,4596,4672
4252,4563,4667
4161,4471,4567
4115,4396,4521
4062,4394,4507
4010,4320,4466
4024,4368,4480
4047,4335,4485
4036,4385,4507
4105,4434,4577
4084,4510,4628
4172,4555,4653
4201,4543,4678
4193,4563,4690
