num,red,green,blue
319,582,1199,1856
320,576,1186,1856
321,575,1191,1866
322,574,1208,1880
323,579,1216,1889
324,583,1205,1866
325,583,1182,1868
326,583,1181,1867
327,585,1204,1883
328,575,1196,1862
329,578,1191,1857
330,577,1196,1863
331,584,1192,1891
332,581,1188,1852
333,578,1179,1852
334,576,1183,1839
335,585,1169,1857
336,582,1185,1859
337,577,1188,1866
338,573,1196,1848
339,582,1183,1862
340,581,1180,1851
341,576,1184,1870
342,577,1197,1862
343,581,1183,1852
344,580,1178,1849
345,575,1182,1846
346,575,1193,1867
347,581,1200,1880
